日付け,終値,始値,高値,安値,前日比%
2020年12月1日,1.3415,1.3325,1.3442,1.3314,0.71%
2020年11月30日,1.3321,1.3314,1.3386,1.3304,0.05%
2020年11月27日,1.3314,1.3356,1.3383,1.3288,-0.31%
2020年11月26日,1.3355,1.3376,1.3399,1.3321,-0.20%
2020年11月25日,1.3382,1.3362,1.3395,1.3304,0.19%
2020年11月24日,1.3356,1.3325,1.3382,1.3292,0.25%
2020年11月23日,1.3323,1.3274,1.3398,1.3263,0.31%
2020年11月20日,1.3282,1.3261,1.3297,1.3245,0.16%
2020年11月19日,1.3261,1.3275,1.3281,1.3196,-0.06%
2020年11月18日,1.3269,1.3244,1.3313,1.3242,0.21%
2020年11月17日,1.3241,1.3195,1.3274,1.3187,0.38%
2020年11月16日,1.3191,1.3179,1.3243,1.3162,0.04%
2020年11月13日,1.3186,1.3118,1.3203,1.3109,0.55%
2020年11月12日,1.3114,1.3222,1.323,1.3105,-0.81%
2020年11月11日,1.3221,1.327,1.331,1.3189,-0.38%
2020年11月10日,1.3271,1.3166,1.3278,1.3155,0.82%
2020年11月9日,1.3163,1.3163,1.3209,1.3118,0.05%
2020年11月6日,1.3156,1.3144,1.3178,1.3092,0.11%
2020年11月5日,1.3142,1.2989,1.3155,1.293,1.21%
2020年11月4日,1.2985,1.306,1.314,1.2914,-0.56%
2020年11月3日,1.3058,1.2916,1.308,1.2903,1.13%
2020年11月2日,1.2912,1.2946,1.2954,1.2853,-0.22%
2020年10月30日,1.2941,1.2929,1.2989,1.2898,0.12%
2020年10月29日,1.2926,1.2983,1.3027,1.2881,-0.42%
2020年10月28日,1.2981,1.3046,1.3065,1.2917,-0.48%
2020年10月27日,1.3043,1.3019,1.3081,1.3001,0.15%
2020年10月26日,1.3023,1.3048,1.3075,1.2993,-0.13%
2020年10月23日,1.304,1.3083,1.3125,1.3018,-0.31%
2020年10月22日,1.3081,1.3151,1.3155,1.3069,-0.48%
2020年10月21日,1.3144,1.2945,1.3178,1.2937,1.55%
2020年10月20日,1.2944,1.2952,1.298,1.291,-0.02%
2020年10月19日,1.2947,1.2915,1.3025,1.2889,0.26%
2020年10月16日,1.2913,1.2916,1.2963,1.2863,-0.01%
2020年10月15日,1.2914,1.301,1.3031,1.289,-0.75%
2020年10月14日,1.3011,1.2938,1.3066,1.2862,0.60%
2020年10月13日,1.2934,1.3064,1.3074,1.2922,-1.00%
2020年10月12日,1.3064,1.3028,1.3084,1.3004,0.14%
2020年10月9日,1.3046,1.2935,1.3051,1.292,0.87%
2020年10月8日,1.2933,1.2919,1.2972,1.289,0.12%
2020年10月7日,1.2918,1.2886,1.2931,1.2845,0.32%
2020年10月6日,1.2877,1.2978,1.3008,1.2866,-0.77%
2020年10月5日,1.2977,1.2933,1.2991,1.2899,0.36%
2020年10月2日,1.2931,1.2893,1.2955,1.2837,0.33%
2020年10月1日,1.2889,1.2919,1.298,1.2818,-0.21%
2020年9月30日,1.2916,1.2864,1.2944,1.2806,0.43%
2020年9月29日,1.2861,1.2836,1.2903,1.2822,0.27%
2020年9月28日,1.2827,1.2747,1.2927,1.2744,0.64%
2020年9月25日,1.2745,1.2754,1.2806,1.2687,-0.03%
2020年9月24日,1.2749,1.2724,1.2782,1.2689,0.21%
2020年9月23日,1.2722,1.2733,1.2778,1.2674,-0.07%
2020年9月22日,1.2731,1.2812,1.2868,1.271,-0.65%
2020年9月21日,1.2814,1.2924,1.2967,1.2774,-0.78%
2020年9月18日,1.2915,1.2973,1.3001,1.2915,-0.44%
2020年9月17日,1.2972,1.2966,1.3,1.2865,0.05%
2020年9月16日,1.2965,1.2889,1.3008,1.2874,0.61%
2020年9月15日,1.2886,1.2841,1.2927,1.2815,0.33%
2020年9月14日,1.2844,1.2803,1.292,1.2775,0.40%
2020年9月11日,1.2793,1.28,1.2866,1.2763,-0.08%
2020年9月10日,1.2803,1.3003,1.3036,1.2773,-1.52%
2020年9月9日,1.3,1.2981,1.3024,1.2884,0.10%
2020年9月8日,1.2987,1.317,1.318,1.298,-1.36%
2020年9月7日,1.3166,1.3274,1.3285,1.314,-0.87%
2020年9月4日,1.3282,1.3282,1.332,1.3175,0.02%
2020年9月3日,1.328,1.3349,1.3358,1.3242,-0.54%
2020年9月2日,1.3352,1.3383,1.3404,1.3283,-0.22%
2020年9月1日,1.3381,1.3367,1.3484,1.3355,0.09%
2020年8月31日,1.3369,1.3342,1.3396,1.3301,0.15%
2020年8月28日,1.3349,1.3208,1.3357,1.3185,1.14%
2020年8月27日,1.3198,1.3207,1.3285,1.3162,-0.08%
2020年8月26日,1.3208,1.3153,1.322,1.3117,0.44%
2020年8月25日,1.315,1.3068,1.3171,1.3054,0.67%
2020年8月24日,1.3063,1.3086,1.3149,1.3052,-0.18%
2020年8月21日,1.3087,1.3216,1.3256,1.3059,-0.95%
2020年8月20日,1.3212,1.3096,1.3226,1.3063,0.87%
2020年8月19日,1.3098,1.3239,1.3269,1.3094,-1.04%
2020年8月18日,1.3235,1.3099,1.325,1.3095,1.02%
2020年8月17日,1.3102,1.3087,1.3123,1.3074,0.14%
2020年8月14日,1.3084,1.306,1.3144,1.3047,0.16%
2020年8月13日,1.3063,1.3035,1.3125,1.303,0.24%
2020年8月12日,1.3032,1.3053,1.3068,1.3004,-0.12%
2020年8月11日,1.3048,1.3078,1.3132,1.3041,-0.17%
2020年8月10日,1.307,1.3042,1.3104,1.3018,0.15%
2020年8月7日,1.3051,1.3153,1.3155,1.3009,-0.72%
2020年8月6日,1.3146,1.3114,1.3187,1.3111,0.26%
2020年8月5日,1.3112,1.3073,1.3162,1.3056,0.40%
2020年8月4日,1.306,1.3075,1.3109,1.2981,-0.09%
2020年8月3日,1.3072,1.3082,1.3113,1.3004,-0.12%
2020年7月31日,1.3088,1.3098,1.3171,1.3069,-0.04%
2020年7月30日,1.3093,1.2997,1.3103,1.2944,0.75%
2020年7月29日,1.2995,1.2932,1.3013,1.2911,0.50%
2020年7月28日,1.293,1.2882,1.2953,1.2838,0.38%
2020年7月27日,1.2881,1.2786,1.2903,1.278,0.72%
2020年7月24日,1.2789,1.2741,1.2804,1.2717,0.39%
2020年7月23日,1.2739,1.2734,1.2761,1.2672,0.05%
2020年7月22日,1.2732,1.2733,1.2744,1.2644,0.03%
2020年7月21日,1.2728,1.2658,1.2768,1.265,0.54%
2020年7月20日,1.266,1.2565,1.2666,1.2517,0.76%
2020年7月17日,1.2565,1.2552,1.2575,1.251,0.13%
